Valle,Evalle,Cepa,Ecepa,Cosecha,Ecosecha,Dp (mg/L),Cy (mg/L),Pt (mg/L),Pe (mg/L),Mv (mg/L),Peac (mg/L),Mvac (mg/L),Pecu (mg/L),Mvcu (mg/L),logDp (mg/L),logCy (mg/L),logPt (mg/L),logPe (mg/L),logMv (mg/L),logPeac (mg/L),logMvac (mg/L),logPecu (mg/L),logMvcu (mg/L),log Dp %,log Cy %,log Pt %,log Pe %,log Mv %,log Peac %,log Mvac %,log Pecu %,log Mvcu %,F1(1),F1(2),F1(3),F2(1),F2(2),F2(3),F2(4),F3(1),F3(2),F3(3),F3(4),F3(5),F3(6),F3(7)
Aconcagua,1,Cm,3,2004,4,7.619063439,0.274899634,15.40257255,4.614590254,221.4318728,1.229133718,50.7875331,1.206458979,32.7128459,2.030653454,-1.291349215,2.734534544,1.529223078,5.40011497,0.21,3.927650913,0.187689606,3.487767842,0.820860707,-2.501141962,1.524741797,0.319430332,4.190322224,-1.00348312,2.717858166,-1.022103142,2.277975095,0,0,1,0,0,0,1,1,0,0,0,0,0,0
Aconcagua,1,Cm,3,2004,4,18.65384291,1.017939528,20.38367381,9.213982912,194.5831376,2.701971757,59.96033558,1.419084962,17.53420395,2.926052179,0.017780514,3.014734277,2.220722212,5.270859514,0.99,4.09368327,0.350012271,2.864153485,1.745957687,-1.162313979,1.834639785,1.04062772,4.090765022,-0.186112705,2.913588778,-0.830082221,1.684058993,0,0,1,0,0,0,1,1,0,0,0,0,0,0
Aconcagua,1,Cm,3,2004,4,22.81797977,1.04624318,33.7959367,9.375022226,285.8425729,1.856853424,47.32788067,1.366169438,31.30133634,3.127548812,0.045205824,3.520340579,2.238048943,5.655441215,0.62,3.857099565,0.312010793,3.443660791,1.657993861,-1.424349126,2.050785629,0.768493992,4.185886264,-0.850671603,2.387544615,-1.157544157,1.974105841,0,0,1,0,0,0,1,1,0,0,0,0,0,0
Aconcagua,1,Cm,3,2004,4,19.85001263,0.738749193,31.33137593,8.920605658,286.2199955,2.325096623,60.51443491,1.455366417,32.57208097,2.988204643,-0.302796803,3.444620021,2.188363843,5.65676073,0.84,4.10288193,0.375257702,3.483455509,1.497713078,-1.793288368,1.954128456,0.697872278,4.166269165,-0.646729969,2.612390365,-1.115233863,1.992963944,0,0,1,0,0,0,1,1,0,0,0,0,0,0
Maipo,2,Cs,1,2002,2,28.81627191,0.620963138,25.62489355,9.943991615,197.8506349,2.723102406,54.89218971,0.907607221,10.89699978,3.360940224,-0.476483558,3.243564283,2.296968511,5.287512377,1.00,4.005371074,-0.09694357,2.388487502,2.160142492,-1.677281289,2.042766551,1.096170779,4.086714645,-0.199025911,2.804573342,-1.297741302,1.18768977,1,0,0,0,1,0,0,0,1,0,0,0,0,0
Maipo,2,Cs,1,2002,2,23.27321985,0.983258312,20.67430446,8.077321517,153.6012549,2.186390477,40.31580868,0.843326252,8.349409034,3.147303337,-0.016883414,3.028891599,2.089060322,5.034359991,0.78,3.696743667,-0.170401383,2.122190762,2.198335201,-0.96585155,2.079923462,1.140092186,4.085391855,-0.166716136,2.747775531,-1.119369519,1.173222626,1,0,0,0,1,0,0,0,1,0,0,0,0,0
Maipo,2,Cs,1,2002,2,17.68319936,0.603098476,15.94942869,5.714385311,124.6941296,1.442906072,32.27150731,0.615016049,6.488133896,2.872615,-0.505674785,2.76942301,1.742986734,4.825863775,0.37,3.474184714,-0.486106916,1.869974954,2.152525034,-1.225764752,2.049333044,1.022896768,4.10577381,-0.35343078,2.754094748,-1.206196881,1.149884988,1,0,0,0,1,0,0,0,1,0,0,0,0,0
Maipo,2,Cs,1,2002,2,26.09420826,0.853152285,23.02639459,8.264016133,177.7165049,2.125146221,48.80082632,0.82500772,9.807741978,3.261713384,-0.158817219,3.136641149,2.111910684,5.180189612,0.75,3.887747246,-0.192362535,2.283172072,2.171425654,-1.249104949,2.046353419,1.021622954,4.089901881,-0.336447121,2.797459515,-1.282650265,1.192884341,1,0,0,0,1,0,0,0,1,0,0,0,0,0
Maipo,2,Cs,1,2002,2,15.98439532,0.668670865,15.55569957,5.015768443,134.6695037,1.40137003,34.54168577,0.514542528,6.946289035,2.771612954,-0.40246332,2.744427103,1.612586639,4.902823656,0.34,3.542166878,-0.664477068,1.938207565,2.004760372,-1.169315902,1.977574521,0.845734056,4.135971074,-0.429402231,2.775314296,-1.43132965,1.171354983,1,0,0,0,1,0,0,0,1,0,0,0,0,0
Maipo,2,Cs,1,2004,4,5.61935822,0.361158162,8.159626236,2.557819182,131.925659,1.062385948,41.9833285,0.482673429,8.931348787,1.726217462,-1.018439295,2.099198364,0.939155013,4.882238575,0.06,3.737272599,-0.728414984,2.189567423,1.027668112,-1.716988646,1.400649013,0.240605663,4.183689225,-0.638032077,3.038723249,-1.426964334,1.491018073,1,0,0,0,0,0,1,0,1,0,0,0,0,0
