j,var1,var2,y1,y2,f
1,1,2,0.20202020202020243,-4.0,7.117921235464625e-5
1,1,2,0.2828282828282829,-4.0,6.948038640996601e-5
1,1,2,0.3636363636363633,-4.0,6.77887198758953e-5
1,1,2,0.44444444444444464,-4.0,6.608847003164163e-5
1,1,2,0.5252525252525251,-4.0,6.436325651589733e-5
1,1,2,0.6060606060606064,-4.0,6.259940004097309e-5
1,1,2,0.6868686868686869,-4.0,6.07885351627344e-5
1,1,2,0.7676767676767673,-4.0,5.892896125641529e-5
1,1,2,0.8484848484848486,-4.0,5.702559250955072e-5
1,1,2,0.9292929292929291,-4.0,5.508874560733806e-5
1,1,2,1.0101010101010104,-4.0,5.3132252051113846e-5
1,1,2,1.0909090909090908,-4.0,5.117144729560715e-5
1,1,2,1.1717171717171722,-4.0,4.9221485619824554e-5
1,1,2,1.2525252525252526,-4.0,4.7296224829698244e-5
1,1,2,1.333333333333333,-4.0,4.540770534388231e-5
1,1,2,1.4141414141414144,-4.0,4.356608601762969e-5
1,1,2,1.4949494949494948,-4.0,4.17798291481772e-5
1,1,2,1.5757575757575761,-4.0,4.005594376014795e-5
1,1,2,1.6565656565656566,-4.0,3.840016590881018e-5
1,1,2,1.737373737373737,-4.0,3.681703599920512e-5
1,1,2,1.8181818181818183,-4.0,3.5309894291071314e-5
1,1,2,1.8989898989898988,-4.0,3.3880843348009226e-5
1,1,2,1.9797979797979801,-4.0,3.253072381178076e-5
1,1,2,2.0606060606060606,-4.0,3.125913092968672e-5
1,1,2,2.141414141414141,-4.0,3.0064478224400044e-5
1,1,2,2.2222222222222223,-4.0,2.894410102802906e-5
1,1,2,2.3030303030303028,-4.0,2.7894388734025226e-5
1,1,2,2.383838383838384,-4.0,2.691093751364193e-5
1,1,2,2.4646464646464645,-4.0,2.5988719701075695e-5
1,1,2,2.545454545454546,-4.0,2.5122267854987225e-5
1,1,2,2.6262626262626263,-4.0,2.4305869149417766e-5
1,1,2,2.7070707070707067,-4.0,2.3533760495089113e-5
1,1,2,2.787878787878788,-4.0,2.2800309511300475e-5
1,1,2,2.8686868686868685,-4.0,2.2100164075161073e-5
1,1,2,2.94949494949495,-4.0,2.1428355388052837e-5
1,1,2,3.0303030303030303,-4.0,2.0780346298580392e-5
1,1,2,3.1111111111111107,-4.0,2.0152026419582596e-5
1,1,2,3.191919191919192,-4.0,1.9539665869782256e-5
1,1,2,3.2727272727272725,-4.0,1.8939847642588023e-5
1,1,2,3.353535353535354,-4.0,1.8349402623610724e-5
1,1,2,3.4343434343434343,-4.0,1.7765370136424237e-5
1,1,2,3.5151515151515156,-4.0,1.7185000760348902e-5
1,1,2,3.595959595959596,-4.0,1.6605808279125184e-5
1,1,2,3.6767676767676765,-4.0,1.602566601997446e-5
1,1,2,3.757575757575758,-4.0,1.5442931938279682e-5
1,1,2,3.8383838383838382,-4.0,1.4856578895170205e-5
