x1,x2,x3,x4,x5,x6,x7,x8
-598.7753140643122,-580.0439244998527,-583.3649206547192,-562.9242756103307,-563.7338066376448,-537.022138738726,-546.7575195668707,-516.1110471787605
-606.9052777295525,-582.3410320251777,-590.5488105500563,-564.7311933825235,-565.1546251951702,-538.2518067184445,-548.605697816183,-520.8886237791049
-580.2614332614583,-542.0908957908513,-555.579085985416,-526.4531780615015,-533.5493242192379,-504.6909446359782,-513.1862131985908,-481.33897068602937
-600.3197491830458,-565.7327344303251,-580.6095034344594,-566.7415985152334,-552.7455499047135,-530.0954784366451,-537.9827886492872,-510.40596472968303
-584.3598604851395,-542.9447379806966,-560.9202064302151,-528.0910460514624,-531.0969693356797,-500.25908068166507,-509.0934884647419,-476.5840291580099
-595.733250159113,-566.9439867681987,-573.8631811038533,-551.9308550272157,-547.1351328590496,-520.8379333176326,-530.6278404556299,-502.7653099809546
-589.4866453785044,-561.0662155041776,-570.8707711135091,-548.1625491175862,-544.2707527692522,-519.8493961038988,-526.425312739501,-500.97507183617165
-598.2884794067872,-565.6739499117583,-574.3938470684133,-548.8107875414294,-543.322009795567,-522.6290468005885,-532.4646572611238,-502.021359958207
-586.5186992045664,-549.84481235469,-559.6696069018735,-534.4312289097713,-534.7186048578162,-503.0693167537871,-518.5370661303855,-484.9224522372108
-598.6356798524948,-578.2552873410922,-582.0117429286056,-563.9062271216881,-552.2103832737312,-532.682562871166,-551.64355689123,-521.9779536259384
-583.6059786098245,-545.9889021955572,-556.4264117117688,-529.0854316843261,-526.6565524978369,-500.7899895998062,-507.847022626272,-477.038017126108
-612.507782617974,-580.2828254011613,-582.8204347521917,-570.3943661642744,-557.439853158778,-540.735392893047,-552.5424203855905,-527.8179586802604
-599.4330235210402,-564.5932662701349,-577.6508147060835,-549.7839960240022,-551.3146706678843,-522.2541451220627,-539.6239907458371,-508.4946101351573
-582.7655104391328,-543.9047090614453,-563.7890646190797,-529.069829306213,-528.5095339112854,-505.3431522589158,-511.8678759471332,-481.14572639343385
-595.35085417299,-561.70589650153,-565.6665243280347,-547.14809578872,-543.5099612072377,-511.5964016971833,-521.9390006034164,-493.4700791360707
-604.5121776907765,-578.638492439865,-581.782899347689,-569.3017243870629,-551.9347561611744,-542.7075348989215,-540.8182773877165,-516.0729154587892
-611.0409832234201,-583.7472287412311,-588.0509051968631,-579.4763314608973,-563.4760370830941,-552.6386239769346,-552.8891800830387,-534.9294964421014
-596.3524431371975,-566.8987430336795,-578.2056118732817,-547.5494428997509,-549.2622192517921,-532.1888351994204,-531.7791184133903,-502.7333777267279
-600.8201018989736,-568.0709373194528,-595.7426067838674,-555.8742598995923,-554.9025042672778,-534.2772506797974,-543.5643335662504,-509.32725962174015
-600.1372215026279,-567.260810826059,-576.2751686371288,-554.2847111401959,-550.3121283106684,-528.679752445109,-531.6525622189524,-508.21463478765116
-588.9363687242721,-554.0528546713318,-565.4418828952041,-536.3410239642504,-530.9001749495833,-510.4843481235016,-514.7106631650327,-489.5429699669007
-593.8836217614655,-568.4967302241353,-575.8097261489388,-546.4803435379055,-544.544444783494,-525.7887589247504,-535.5525160310154,-501.2144846794715
-592.9941088490398,-574.8622286757411,-580.3152715268068,-566.7490422529108,-556.7717856070321,-530.0350021581886,-544.3904032258728,-512.5740208283809
-598.4345040138087,-565.2252235621597,-575.7330159449355,-551.0724578526917,-552.1575119219095,-528.5639196931843,-536.8977374186452,-508.57067826241473
-605.4662126278405,-589.2837176123418,-589.7727653143506,-564.9223778239224,-561.097613975871,-540.4146630537331,-556.5755591811994,-523.6030772872919
-598.4997431549261,-570.4514469142458,-582.0339176189303,-560.0997736206913,-549.8209410666325,-525.1557108710442,-534.2097271267152,-515.4915649439633
-593.1600520434149,-568.7856897074785,-581.3443114933748,-547.2319870051524,-550.6296639205055,-531.4375686728347,-539.7775525169936,-504.3405277608536
-596.0599537737007,-572.0645795198343,-576.5224844859972,-547.8461172765523,-549.5904776384441,-527.1105445305649,-529.6044691564408,-505.13527702765435
-588.5650900561702,-554.2914645864753,-574.5491681115813,-547.0708637396062,-542.8913206062574,-516.7251019252009,-529.0424535671965,-494.8228406338425
-592.8067107145396,-567.6605030423359,-568.1364909922312,-549.9989510763353,-546.7984180475997,-528.4259701449546,-537.0669566684517,-514.3124283419123
-592.2775977036446,-551.1347035986414,-567.9955342740203,-538.5873867224614,-537.1432448109739,-515.1037942434068,-521.7161841440627,-488.17062830173995
-580.6581944958014,-540.9347945053293,-555.3758105064136,-524.7625063802801,-526.5523418021012,-497.19462114274074,-508.4379186282172,-470.3209709333139
-610.0870952510123,-578.1757940391999,-585.9894568693,-570.7689609137188,-560.0021898934571,-544.2934586350356,-549.6806799982104,-517.0355255724987
-603.0696137854003,-580.3800057782365,-592.5691457757936,-567.3504375552208,-561.2385706969914,-541.4843117561471,-550.6321368858786,-527.3049234582612
-598.841918126383,-571.362045438984,-577.5884400115222,-561.8881086689946,-543.4872518195959,-533.3489296432292,-530.5131041293647,-516.6809804761766
-589.4192803341131,-564.7292900951331,-572.7888421504949,-550.7038222804754,-548.93611068934,-526.9417189655043,-535.8281962161112,-498.31359031294505
-597.3554379219056,-556.908774167499,-568.0584466019601,-550.1232147062343,-544.491187762256,-522.9091527686451,-532.5416533607604,-499.17166925753486
-588.0015968455137,-565.5266051299021,-571.1893189255524,-553.1807357497104,-542.5332895903954,-518.9621850746421,-534.7222802905223,-507.4304846356128
-594.8308980057104,-562.430775701684,-572.0602439335516,-539.638811042629,-545.1659039588611,-517.9286161924884,-530.150702880433,-487.9655274001468
-594.6033297994546,-568.101391859393,-578.5482453070756,-561.8170958599783,-543.8987865809461,-523.955233921699,-533.0267417129457,-510.80129934543226
-593.5969112357852,-558.5823946545402,-563.2553965446325,-549.0392215293679,-543.6197921834776,-517.9834521511369,-523.4656699247215,-498.5479995449784
-600.1002575212552,-568.8558442155113,-576.0134283427825,-551.2535442254257,-550.5014588552299,-527.9539632701046,-533.6302516553283,-512.8493158599363
-588.3186489135852,-547.320868365945,-564.6726668646963,-537.1143335017605,-539.4365260625493,-513.6733474272187,-514.3594713415739,-492.17150114257004
-597.4833389540372,-572.4223465240713,-581.074317826296,-557.4337232078417,-558.7516164914673,-527.9868977994885,-537.2147805916882,-506.67223895794996
-610.5641094740811,-592.3648092624601,-586.2141021289137,-572.3854514691087,-560.5496333393738,-550.6288741107594,-552.6902940162128,-536.4487325048611
-588.6925133870576,-546.453033644202,-570.477409139344,-539.6279884221454,-535.8361140482658,-509.4655287673173,-513.2167889760914,-485.09363863568666
-586.9577436414379,-549.6224673170057,-565.8695224074016,-536.1208497571475,-535.4939867688672,-505.5857600857173,-517.8428155212905,-484.0496255574732
-613.721620331107,-589.9818134018499,-603.7432688673407,-577.7216671108741,-572.0811262086896,-556.0349099933287,-557.4153497140285,-541.4003683035122
-593.161800724657,-554.883523173311,-560.9291593729831,-539.3351825542946,-536.2820873904411,-512.3941802877687,-525.5886045424869,-489.83261709904514
-600.806753848727,-567.6043126072552,-573.0332107413013,-544.1855242046096,-550.0434418676218,-518.2228567710745,-532.1570644875619,-503.58500580111746
-614.4230550802721,-594.6883904926015,-602.4671481195772,-583.415940557206,-570.6282577006477,-557.2938162132593,-549.4695422500872,-543.759125216258
-591.3503607906387,-556.9652445210372,-569.3148910410373,-537.4074013570192,-541.3812400977149,-510.98705129233315,-526.9458659352828,-489.8175617712767
-592.8776589036054,-570.1742928700667,-579.2631120538833,-551.131515748085,-544.3127536359111,-524.2228690531664,-530.9818602391038,-507.493729451744
-603.6247252496779,-593.5195267373788,-591.1310628892685,-572.820071907089,-562.3366550439844,-541.6701270884464,-551.6380930237478,-532.5467736476996
-603.9992695675207,-572.4900666848049,-577.1588339214093,-548.3268810945954,-543.098321027255,-531.8503083833464,-542.9592724453564,-514.2682029809529
-600.1245945594281,-557.4821947932037,-564.4669578434773,-551.4961190809868,-542.7172973326258,-526.6164440773757,-522.6251136809457,-505.1332719342792
-595.7660878512191,-570.9057474799158,-584.9809354238589,-560.5102350739553,-554.3384836055869,-533.469118319779,-539.8155260753443,-508.70921724672405
-593.2144950820774,-552.3411082845626,-567.8708168002353,-535.3236329207772,-542.0409262429472,-512.4268498905399,-512.6238855296072,-484.15017102847014
-598.3980198953625,-574.479288689508,-579.3231816203478,-552.7552288566346,-555.2533109433452,-531.4039510381017,-543.3871720002243,-507.98551113974383
-592.9893428071181,-573.0058221777037,-584.520459893286,-551.4672175986143,-547.3720867163443,-529.973371534569,-533.507054672771,-508.44674009192465
-590.8810473901505,-556.7851942271618,-570.2119540204168,-543.7684661017897,-541.2816695839772,-518.6920717328187,-531.8861005511575,-494.57737209002653
-594.2095922733207,-565.9051188093175,-564.7726037302191,-554.391810919035,-543.7812364018248,-528.4698699502961,-531.5568511625614,-499.0554471399764
-601.2270041307819,-580.4156056393192,-591.0843544614728,-570.9051764811219,-565.4040132934083,-543.8960010695251,-543.6239493044285,-535.7443036440877
-589.3278923505112,-558.4521511503074,-563.7645459083922,-539.4954852745059,-539.947509647702,-514.5394749322243,-523.2945679228577,-493.0654223901187
-590.2715500043782,-553.222562435193,-572.3010217717267,-544.7073734167402,-537.8430305682487,-519.5609434664046,-525.0044228249822,-494.1510482256672
-592.2957779850569,-563.6807516803228,-582.4816308479494,-552.2505794259549,-541.4874263728912,-532.0437147722952,-524.1699522769477,-511.32472360903046
-606.7870125522765,-589.4262531119339,-590.0598856362116,-574.7279339642926,-546.3939056034225,-539.3441643725101,-540.0909428564981,-537.1996732726635
-600.4713982759506,-567.2323533750423,-577.084605503453,-553.8818882803967,-548.3309049540034,-524.1961901303109,-533.8864453891491,-503.13829886606925
-600.2975922137084,-579.4015750444573,-583.7969687103811,-559.6125705278214,-556.8400629798168,-530.9528572424156,-542.0002744591172,-518.8296115867474
-595.8365404965828,-570.965483633423,-581.7763020651066,-553.8943104501354,-543.3369970409957,-532.4075579463381,-537.2712748350928,-503.37454355612044
-604.3931854458951,-571.5084579090433,-588.5830975005468,-561.0343310092059,-549.6848979179722,-545.529335050129,-544.4640667960695,-519.6393410695815
-600.0349851324154,-565.2870508378871,-577.0035290906216,-553.9948355110505,-549.2227594596222,-529.125344118594,-539.6572841140793,-511.1844322247306
