j,var1,var2,y1,y2,f
1,1,2,-2.545454545454545,-3.9191919191919196,2.637832111016026e-5
1,1,2,-2.4646464646464645,-3.9191919191919196,2.8588447432946967e-5
1,1,2,-2.383838383838384,-3.9191919191919196,3.0722010119380867e-5
1,1,2,-2.3030303030303028,-3.9191919191919196,3.277120966471935e-5
1,1,2,-2.2222222222222223,-3.9191919191919196,3.472154985910756e-5
1,1,2,-2.141414141414142,-3.9191919191919196,3.654859698644398e-5
1,1,2,-2.0606060606060606,-3.9191919191919196,3.82228422571329e-5
1,1,2,-1.9797979797979794,-3.9191919191919196,3.971818828540901e-5
1,1,2,-1.8989898989898988,-3.9191919191919196,4.101858488623672e-5
1,1,2,-1.8181818181818183,-3.9191919191919196,4.211886317355717e-5
1,1,2,-1.7373737373737372,-3.9191919191919196,4.301869200464473e-5
1,1,2,-1.6565656565656566,-3.9191919191919196,4.371220055898965e-5
1,1,2,-1.575757575757576,-3.9191919191919196,4.417904488614782e-5
1,1,2,-1.4949494949494948,-3.9191919191919196,4.4383416399586285e-5
1,1,2,-1.4141414141414137,-3.9191919191919196,4.4284161848458746e-5
1,1,2,-1.3333333333333337,-3.9191919191919196,4.385297314143099e-5
1,1,2,-1.2525252525252526,-3.9191919191919196,4.3092341788622016e-5
1,1,2,-1.1717171717171715,-3.9191919191919196,4.204439365252883e-5
1,1,2,-1.0909090909090908,-3.9191919191919196,4.078636935728909e-5
1,1,2,-1.0101010101010102,-3.9191919191919196,3.941525267988694e-5
1,1,2,-0.9292929292929293,-3.9191919191919196,3.8028613963820054e-5
1,1,2,-0.8484848484848486,-3.9191919191919196,3.670893616166032e-5
1,1,2,-0.767676767676768,-3.9191919191919196,3.551546972537104e-5
1,1,2,-0.6868686868686869,-3.9191919191919196,3.4483625381262836e-5
1,1,2,-0.6060606060606057,-3.9191919191919196,3.36291637506791e-5
1,1,2,-0.5252525252525251,-3.9191919191919196,3.295362262218017e-5
1,1,2,-0.44444444444444464,-3.9191919191919196,3.2448233659288124e-5
1,1,2,-0.36363636363636354,-3.9191919191919196,3.2095530341882786e-5
1,1,2,-0.2828282828282829,-3.9191919191919196,3.1870155266238267e-5
1,1,2,-0.2020202020202022,-3.9191919191919196,3.17414859837971e-5
1,1,2,-0.1212121212121211,-3.9191919191919196,3.167914751659946e-5
1,1,2,-0.04040404040404,-3.9191919191919196,3.165907232931309e-5
1,1,2,0.040404040404040664,-3.9191919191919196,3.166592210384252e-5
1,1,2,0.1212121212121211,-3.9191919191919196,3.1689893510937284e-5
1,1,2,0.20202020202020243,-3.9191919191919196,3.172029858547114e-5
1,1,2,0.2828282828282829,-3.9191919191919196,3.174046624402612e-5
1,1,2,0.3636363636363633,-3.9191919191919196,3.1726781226939246e-5
1,1,2,0.44444444444444464,-3.9191919191919196,3.1651503355095526e-5
1,1,2,0.5252525252525251,-3.9191919191919196,3.1487341643290256e-5
1,1,2,0.6060606060606064,-3.9191919191919196,3.121199424082052e-5
1,1,2,0.6868686868686869,-3.9191919191919196,3.0811678163616525e-5
1,1,2,0.7676767676767673,-3.9191919191919196,3.028317265961113e-5
1,1,2,0.8484848484848486,-3.9191919191919196,2.9634165240799936e-5
1,1,2,0.9292929292929291,-3.9191919191919196,2.8881980557529562e-5
1,1,2,1.0101010101010104,-3.9191919191919196,2.805104337922813e-5
1,1,2,1.0909090909090908,-3.9191919191919196,2.7169527090536504e-5
1,1,2,1.1717171717171722,-3.9191919191919196,2.626559862173276e-5
1,1,2,1.2525252525252526,-3.9191919191919196,2.5363663119152075e-5
1,1,2,1.333333333333333,-3.9191919191919196,2.4481124673210315e-5
1,1,2,1.4141414141414144,-3.9191919191919196,2.362629792044871e-5
1,1,2,1.4949494949494948,-3.9191919191919196,2.2798020239420126e-5
