"group","Dp","Cy","Mv","Pe","group_id"
"Cs",-1.0097075923952,-1.00425734099834,-0.08094327298735,-0.597783411680811,2
"Cs",-0.616328022785127,-0.711073967514873,0.443189648227627,-0.15208144695338,2
"Cs",-1.1391157717641,-1.95504618591145,0.53205115732007,-1.35686288874337,2
"Cs",-0.55652216270599,-0.655187699637891,0.744505435218751,-0.434001871022797,2
"Cs",-0.254218090501506,-0.58102002490711,0.415705884240671,-0.389819771366805,2
"Mt",0.419996743051603,2.08565136062913,-2.19976939914184,1.01688075254788,3
"Mt",1.33669974595678,3.16422986700641,-1.56383780984283,2.34108726882296,3
"Mt",1.17312320168328,2.49354889302919,-0.556979352145798,2.11893535294767,3
"Mt",0.562255796053957,1.71820026493127,-0.762412625979324,1.56650124193436,3
"Mt",0.945140790557258,1.68612388250161,-0.334203366806671,1.56926153991516,3
"Cm",0.128415416221042,-0.632129783255765,1.26809480935915,0.0190843526454665,1
"Cm",-1.48871159183804,-1.80076618650477,0.883483295484107,-0.987667822641141,1
"Cm",0.154615598511989,-0.0556875083218609,0.579608653470787,0.273516808334846,1
"Cm",0.524422798955437,-0.0191293867977897,1.48374554898604,0.305118014710695,1
"Cm",0.268684148295162,-0.48301921442643,1.48684767837125,0.214500280822824,1
"Cs",0.952766555345962,-0.714544819657933,0.61875889856854,0.412577952072446,2
"Cs",0.560678320834753,-0.101894756018447,0.0236073045765007,0.0333864249564465,2
"Cs",0.0565422298836149,-0.753456920345318,-0.466559338742074,-0.597796853390675,2
"Cs",0.7706553241908,-0.291093466682568,0.366447175694308,0.0750618572884239,2
"Cs",-0.128827040630798,-0.615875347697737,-0.285629596880635,-0.83562592302449,2
"Cs",-2.04744361747811,-1.43697543918105,-0.334024336362195,-2.06385828798992,2
"Cs",-1.60951757062414,-1.4972971828225,-0.498310100782317,-1.55227408405274,2
"Cs",-0.126980930403006,-0.328624127221728,0.0410808800208223,-0.437747530233309,2
"Cs",-2.68418430321766,-2.09325836003172,-0.725487006714781,-2.61073938608762,2
"Cs",-1.11156597435503,-0.571007443798315,-0.440269719950735,-0.80077923495236,2
