"N","l","H0","H1","value"
200,1,"000","000",0.8745
600,1,"000","000",1.0
1200,1,"000","000",1.0
200,2,"000","000",0.995
600,2,"000","000",1.0
1200,2,"000","000",1.0
200,3,"000","000",0.948
600,3,"000","000",1.0
1200,3,"000","000",1.0
200,1,"100","000",0.3985
600,1,"100","000",0.0
1200,1,"100","000",0.0
200,2,"100","000",0.0
600,2,"100","000",0.0
1200,2,"100","000",0.0
200,3,"100","000",0.0
600,3,"100","000",0.0
1200,3,"100","000",0.0
200,1,"010","000",0.0
600,1,"010","000",0.0
1200,1,"010","000",0.0
200,2,"010","000",0.0
600,2,"010","000",0.0
1200,2,"010","000",0.0
200,3,"010","000",0.0
600,3,"010","000",0.0
1200,3,"010","000",0.0
200,1,"110","000",0.0
600,1,"110","000",0.0
1200,1,"110","000",0.0
200,2,"110","000",0.0
600,2,"110","000",0.0
1200,2,"110","000",0.0
200,3,"110","000",0.0
600,3,"110","000",0.0
1200,3,"110","000",0.0
200,1,"001","000",0.002
600,1,"001","000",0.0
1200,1,"001","000",0.0
200,2,"001","000",0.0
600,2,"001","000",0.0
1200,2,"001","000",0.0
200,3,"001","000",0.0
600,3,"001","000",0.0
1200,3,"001","000",0.0
200,1,"101","000",0.214
600,1,"101","000",0.0
1200,1,"101","000",0.0
200,2,"101","000",0.0
600,2,"101","000",0.0
1200,2,"101","000",0.0
200,3,"101","000",0.0
600,3,"101","000",0.0
1200,3,"101","000",0.0
200,1,"011","000",0.0
600,1,"011","000",0.0
1200,1,"011","000",0.0
200,2,"011","000",0.0
600,2,"011","000",0.0
1200,2,"011","000",0.0
200,3,"011","000",0.0
600,3,"011","000",0.0
1200,3,"011","000",0.0
200,1,"111","000",0.22
600,1,"111","000",0.0
1200,1,"111","000",0.0
200,2,"111","000",0.0
600,2,"111","000",0.0
1200,2,"111","000",0.0
200,3,"111","000",0.0
600,3,"111","000",0.0
1200,3,"111","000",0.0
200,1,"000","100",0.0005
600,1,"000","100",0.0
1200,1,"000","100",0.0
200,2,"000","100",0.0015
600,2,"000","100",0.0
1200,2,"000","100",0.0
200,3,"000","100",0.0
600,3,"000","100",0.0
1200,3,"000","100",0.0
200,1,"100","100",0.475
600,1,"100","100",1.0
1200,1,"100","100",1.0
200,2,"100","100",0.9895
600,2,"100","100",1.0
1200,2,"100","100",1.0
200,3,"100","100",0.9775
600,3,"100","100",1.0
1200,3,"100","100",0.9995
200,1,"010","100",0.0
600,1,"010","100",0.0
1200,1,"010","100",0.0
200,2,"010","100",0.0
600,2,"010","100",0.0
1200,2,"010","100",0.0
200,3,"010","100",0.0
600,3,"010","100",0.0
1200,3,"010","100",0.0
200,1,"110","100",0.0
600,1,"110","100",0.0
1200,1,"110","100",0.0
200,2,"110","100",0.0
600,2,"110","100",0.0
1200,2,"110","100",0.0
200,3,"110","100",0.001
600,3,"110","100",0.0
1200,3,"110","100",0.0
200,1,"001","100",0.0
600,1,"001","100",0.0
1200,1,"001","100",0.0
200,2,"001","100",0.0
600,2,"001","100",0.0
1200,2,"001","100",0.0
200,3,"001","100",0.0
600,3,"001","100",0.0
1200,3,"001","100",0.0
200,1,"101","100",0.071
600,1,"101","100",0.0
1200,1,"101","100",0.0
200,2,"101","100",0.0
600,2,"101","100",0.0
1200,2,"101","100",0.0
200,3,"101","100",0.0005
600,3,"101","100",0.0
1200,3,"101","100",0.0
200,1,"011","100",0.0
600,1,"011","100",0.0
1200,1,"011","100",0.0
200,2,"011","100",0.0
600,2,"011","100",0.0
1200,2,"011","100",0.0
200,3,"011","100",0.0
600,3,"011","100",0.0
1200,3,"011","100",0.0
200,1,"111","100",0.0295
600,1,"111","100",0.0
1200,1,"111","100",0.0
200,2,"111","100",0.0
600,2,"111","100",0.0
1200,2,"111","100",0.0
200,3,"111","100",0.0
600,3,"111","100",0.0
1200,3,"111","100",0.0
200,1,"000","010",0.077
600,1,"000","010",0.0
1200,1,"000","010",0.0
200,2,"000","010",0.0035
600,2,"000","010",0.0
1200,2,"000","010",0.0
200,3,"000","010",0.052
600,3,"000","010",0.0
1200,3,"000","010",0.0
200,1,"100","010",0.0265
600,1,"100","010",0.0
1200,1,"100","010",0.0
200,2,"100","010",0.0
600,2,"100","010",0.0
1200,2,"100","010",0.0
200,3,"100","010",0.0
600,3,"100","010",0.0
1200,3,"100","010",0.0
200,1,"010","010",0.9065
600,1,"010","010",1.0
1200,1,"010","010",0.9995
200,2,"010","010",0.9395
600,2,"010","010",1.0
1200,2,"010","010",1.0
200,3,"010","010",0.9225
600,3,"010","010",0.9995
1200,3,"010","010",0.568
200,1,"110","010",0.0035
600,1,"110","010",0.0
1200,1,"110","010",0.0
200,2,"110","010",0.0
600,2,"110","010",0.0
1200,2,"110","010",0.0
200,3,"110","010",0.0
600,3,"110","010",0.0
1200,3,"110","010",0.0
200,1,"001","010",0.0
600,1,"001","010",0.0
1200,1,"001","010",0.0
200,2,"001","010",0.0
600,2,"001","010",0.0
1200,2,"001","010",0.0
200,3,"001","010",0.0
600,3,"001","010",0.0
1200,3,"001","010",0.0
200,1,"101","010",0.0015
600,1,"101","010",0.0
1200,1,"101","010",0.0
200,2,"101","010",0.0
600,2,"101","010",0.0
1200,2,"101","010",0.0
200,3,"101","010",0.0
600,3,"101","010",0.0
1200,3,"101","010",0.0
200,1,"011","010",0.6735
600,1,"011","010",0.0
1200,1,"011","010",0.0
200,2,"011","010",0.0
600,2,"011","010",0.0
1200,2,"011","010",0.0
200,3,"011","010",0.0
600,3,"011","010",0.0
1200,3,"011","010",0.0
200,1,"111","010",0.0055
600,1,"111","010",0.0
1200,1,"111","010",0.0
200,2,"111","010",0.0
600,2,"111","010",0.0
1200,2,"111","010",0.0
200,3,"111","010",0.0
600,3,"111","010",0.0
1200,3,"111","010",0.0
200,1,"000","110",0.0055
600,1,"000","110",0.0
1200,1,"000","110",0.0
200,2,"000","110",0.0
600,2,"000","110",0.0
1200,2,"000","110",0.0
200,3,"000","110",0.0
600,3,"000","110",0.0
1200,3,"000","110",0.0
200,1,"100","110",0.0045
600,1,"100","110",0.0
1200,1,"100","110",0.0
200,2,"100","110",0.0105
600,2,"100","110",0.0
