"N","l","H0","H1","value"
1200,2,"100","110",0.0
200,3,"100","110",0.0025
600,3,"100","110",0.0
1200,3,"100","110",0.0005
200,1,"010","110",0.0
600,1,"010","110",0.0
1200,1,"010","110",0.0
200,2,"010","110",0.0
600,2,"010","110",0.0
1200,2,"010","110",0.0
200,3,"010","110",0.0775
600,3,"010","110",0.0005
1200,3,"010","110",0.0
200,1,"110","110",0.9775
600,1,"110","110",1.0
1200,1,"110","110",1.0
200,2,"110","110",0.4035
600,2,"110","110",0.998
1200,2,"110","110",1.0
200,3,"110","110",0.9535
600,3,"110","110",0.9995
1200,3,"110","110",0.988
200,1,"001","110",0.0
600,1,"001","110",0.0
1200,1,"001","110",0.0
200,2,"001","110",0.0
600,2,"001","110",0.0
1200,2,"001","110",0.0
200,3,"001","110",0.0
600,3,"001","110",0.0
1200,3,"001","110",0.0
200,1,"101","110",0.022
600,1,"101","110",0.0
1200,1,"101","110",0.0
200,2,"101","110",0.0
600,2,"101","110",0.0
1200,2,"101","110",0.0
200,3,"101","110",0.0
600,3,"101","110",0.0
1200,3,"101","110",0.0
200,1,"011","110",0.003
600,1,"011","110",0.0
1200,1,"011","110",0.0
200,2,"011","110",0.0
600,2,"011","110",0.0
1200,2,"011","110",0.0
200,3,"011","110",0.0
600,3,"011","110",0.0
1200,3,"011","110",0.0
200,1,"111","110",0.0385
600,1,"111","110",0.0
1200,1,"111","110",0.0
200,2,"111","110",0.0
600,2,"111","110",0.0
1200,2,"111","110",0.0
200,3,"111","110",0.0
600,3,"111","110",0.0
1200,3,"111","110",0.0
200,1,"000","001",0.0425
600,1,"000","001",0.0
1200,1,"000","001",0.0
200,2,"000","001",0.0
600,2,"000","001",0.0
1200,2,"000","001",0.0
200,3,"000","001",0.0
600,3,"000","001",0.0
1200,3,"000","001",0.0
200,1,"100","001",0.0
600,1,"100","001",0.0
1200,1,"100","001",0.0
200,2,"100","001",0.0
600,2,"100","001",0.0
1200,2,"100","001",0.0
200,3,"100","001",0.0
600,3,"100","001",0.0
1200,3,"100","001",0.0
200,1,"010","001",0.0
600,1,"010","001",0.0
1200,1,"010","001",0.0
200,2,"010","001",0.0
600,2,"010","001",0.0
1200,2,"010","001",0.0
200,3,"010","001",0.0
600,3,"010","001",0.0
1200,3,"010","001",0.0
200,1,"110","001",0.0
600,1,"110","001",0.0
1200,1,"110","001",0.0
200,2,"110","001",0.0
600,2,"110","001",0.0
1200,2,"110","001",0.0
200,3,"110","001",0.0
600,3,"110","001",0.0
1200,3,"110","001",0.0
200,1,"001","001",0.9915
600,1,"001","001",1.0
1200,1,"001","001",1.0
200,2,"001","001",0.997
600,2,"001","001",1.0
1200,2,"001","001",1.0
200,3,"001","001",0.9525
600,3,"001","001",0.9995
1200,3,"001","001",1.0
200,1,"101","001",0.009
600,1,"101","001",0.0
1200,1,"101","001",0.0
200,2,"101","001",0.0245
600,2,"101","001",0.0
1200,2,"101","001",0.0
200,3,"101","001",0.0
600,3,"101","001",0.0
1200,3,"101","001",0.0
200,1,"011","001",0.0
600,1,"011","001",0.0
1200,1,"011","001",0.0
200,2,"011","001",0.0
600,2,"011","001",0.0
1200,2,"011","001",0.0
200,3,"011","001",0.0
600,3,"011","001",0.0
1200,3,"011","001",0.0
200,1,"111","001",0.4825
600,1,"111","001",0.0
1200,1,"111","001",0.0
200,2,"111","001",0.0
600,2,"111","001",0.0
1200,2,"111","001",0.0
200,3,"111","001",0.0
600,3,"111","001",0.0
1200,3,"111","001",0.0
200,1,"000","101",0.0
600,1,"000","101",0.0
1200,1,"000","101",0.0
200,2,"000","101",0.0
600,2,"000","101",0.0
1200,2,"000","101",0.0
200,3,"000","101",0.0
600,3,"000","101",0.0
1200,3,"000","101",0.0
200,1,"100","101",0.0945
600,1,"100","101",0.0
1200,1,"100","101",0.0
200,2,"100","101",0.0
600,2,"100","101",0.0
1200,2,"100","101",0.0
200,3,"100","101",0.02
600,3,"100","101",0.0
1200,3,"100","101",0.0
200,1,"010","101",0.0
600,1,"010","101",0.0
1200,1,"010","101",0.0
200,2,"010","101",0.0
600,2,"010","101",0.0
1200,2,"010","101",0.0
200,3,"010","101",0.0
600,3,"010","101",0.0
1200,3,"010","101",0.0
200,1,"110","101",0.0
600,1,"110","101",0.0
1200,1,"110","101",0.0
200,2,"110","101",0.0
600,2,"110","101",0.0
1200,2,"110","101",0.0
200,3,"110","101",0.0065
600,3,"110","101",0.0
1200,3,"110","101",0.0
200,1,"001","101",0.006
600,1,"001","101",0.0
1200,1,"001","101",0.0
200,2,"001","101",0.0005
600,2,"001","101",0.0
1200,2,"001","101",0.0
200,3,"001","101",0.027
600,3,"001","101",0.0005
1200,3,"001","101",0.0
200,1,"101","101",0.018
600,1,"101","101",1.0
1200,1,"101","101",0.9995
200,2,"101","101",0.826
600,2,"101","101",1.0
1200,2,"101","101",1.0
200,3,"101","101",0.999
600,3,"101","101",1.0
1200,3,"101","101",1.0
200,1,"011","101",0.0
600,1,"011","101",0.0
1200,1,"011","101",0.0
200,2,"011","101",0.0
600,2,"011","101",0.0
1200,2,"011","101",0.0
200,3,"011","101",0.0
600,3,"011","101",0.0
1200,3,"011","101",0.0
200,1,"111","101",0.02
600,1,"111","101",0.0
1200,1,"111","101",0.0
200,2,"111","101",0.0005
600,2,"111","101",0.0
1200,2,"111","101",0.0
200,3,"111","101",0.0005
600,3,"111","101",0.0
1200,3,"111","101",0.0
200,1,"000","011",0.0
600,1,"000","011",0.0
1200,1,"000","011",0.0
200,2,"000","011",0.0
600,2,"000","011",0.0
1200,2,"000","011",0.0
200,3,"000","011",0.0
600,3,"000","011",0.0
1200,3,"000","011",0.0
200,1,"100","011",0.0
600,1,"100","011",0.0
1200,1,"100","011",0.0
200,2,"100","011",0.0
600,2,"100","011",0.0
1200,2,"100","011",0.0
200,3,"100","011",0.0
600,3,"100","011",0.0
1200,3,"100","011",0.0
200,1,"010","011",0.0935
600,1,"010","011",0.0
1200,1,"010","011",0.0005
200,2,"010","011",0.057
600,2,"010","011",0.0
1200,2,"010","011",0.0
200,3,"010","011",0.0
600,3,"010","011",0.0
1200,3,"010","011",0.432
200,1,"110","011",0.0025
600,1,"110","011",0.0
1200,1,"110","011",0.0
200,2,"110","011",0.0
600,2,"110","011",0.0
1200,2,"110","011",0.0
200,3,"110","011",0.0
600,3,"110","011",0.0
1200,3,"110","011",0.0
200,1,"001","011",0.0005
600,1,"001","011",0.0
1200,1,"001","011",0.0
200,2,"001","011",0.0025
600,2,"001","011",0.0
1200,2,"001","011",0.0
200,3,"001","011",0.013
600,3,"001","011",0.0
1200,3,"001","011",0.0
200,1,"101","011",0.0
600,1,"101","011",0.0
1200,1,"101","011",0.0
200,2,"101","011",0.0075
600,2,"101","011",0.0
1200,2,"101","011",0.0
200,3,"101","011",0.0
600,3,"101","011",0.0
1200,3,"101","011",0.0
200,1,"011","011",0.316
600,1,"011","011",1.0
1200,1,"011","011",1.0
200,2,"011","011",0.9675
600,2,"011","011",0.9995
1200,2,"011","011",1.0
200,3,"011","011",0.9845
600,3,"011","011",1.0
1200,3,"011","011",0.9995
200,1,"111","011",0.007
600,1,"111","011",0.0
1200,1,"111","011",0.0
200,2,"111","011",0.001
600,2,"111","011",0.0
1200,2,"111","011",0.0
200,3,"111","011",0.0
600,3,"111","011",0.0
1200,3,"111","011",0.0
200,1,"000","111",0.0
600,1,"000","111",0.0
1200,1,"000","111",0.0
200,2,"000","111",0.0
600,2,"000","111",0.0
1200,2,"000","111",0.0
200,3,"000","111",0.0
600,3,"000","111",0.0
1200,3,"000","111",0.0
200,1,"100","111",0.001
600,1,"100","111",0.0
1200,1,"100","111",0.0
200,2,"100","111",0.0
600,2,"100","111",0.0
1200,2,"100","111",0.0
200,3,"100","111",0.0
600,3,"100","111",0.0
1200,3,"100","111",0.0
200,1,"010","111",0.0
600,1,"010","111",0.0
1200,1,"010","111",0.0
200,2,"010","111",0.0035
600,2,"010","111",0.0
1200,2,"010","111",0.0
200,3,"010","111",0.0
600,3,"010","111",0.0
1200,3,"010","111",0.0
200,1,"110","111",0.0165
600,1,"110","111",0.0
1200,1,"110","111",0.0
200,2,"110","111",0.5965
600,2,"110","111",0.002
1200,2,"110","111",0.0
200,3,"110","111",0.039
600,3,"110","111",0.0005
1200,3,"110","111",0.012
200,1,"001","111",0.0
600,1,"001","111",0.0
1200,1,"001","111",0.0
200,2,"001","111",0.0
600,2,"001","111",0.0
1200,2,"001","111",0.0
200,3,"001","111",0.0075
600,3,"001","111",0.0
1200,3,"001","111",0.0
200,1,"101","111",0.6645
600,1,"101","111",0.0
1200,1,"101","111",0.0005
200,2,"101","111",0.142
600,2,"101","111",0.0
1200,2,"101","111",0.0
200,3,"101","111",0.0005
600,3,"101","111",0.0
1200,3,"101","111",0.0
200,1,"011","111",0.0075
600,1,"011","111",0.0
1200,1,"011","111",0.0
200,2,"011","111",0.0325
600,2,"011","111",0.0005
1200,2,"011","111",0.0
200,3,"011","111",0.0155
600,3,"011","111",0.0
1200,3,"011","111",0.0005
200,1,"111","111",0.197
600,1,"111","111",1.0
1200,1,"111","111",1.0
200,2,"111","111",0.9985
600,2,"111","111",1.0
1200,2,"111","111",1.0
200,3,"111","111",0.9995
600,3,"111","111",1.0
1200,3,"111","111",1.0
