"N","l","H0","H1","value"
200,1,"000","000",0.83
600,1,"000","000",1.0
1200,1,"000","000",1.0
200,2,"000","000",0.974
600,2,"000","000",1.0
1200,2,"000","000",1.0
200,3,"000","000",0.986
600,3,"000","000",1.0
1200,3,"000","000",1.0
200,1,"100","000",0.0
600,1,"100","000",0.0
1200,1,"100","000",0.0
200,2,"100","000",0.0025
600,2,"100","000",0.0
1200,2,"100","000",0.0
200,3,"100","000",0.0435
600,3,"100","000",0.0
1200,3,"100","000",0.0
200,1,"010","000",0.0065
600,1,"010","000",0.0
1200,1,"010","000",0.0
200,2,"010","000",0.014
600,2,"010","000",0.0
1200,2,"010","000",0.0
200,3,"010","000",0.0
600,3,"010","000",0.0
1200,3,"010","000",0.0
200,1,"110","000",0.0
600,1,"110","000",0.0
1200,1,"110","000",0.0
200,2,"110","000",0.0
600,2,"110","000",0.0
1200,2,"110","000",0.0
200,3,"110","000",0.0015
600,3,"110","000",0.0
1200,3,"110","000",0.0
200,1,"001","000",0.0
600,1,"001","000",0.0
1200,1,"001","000",0.0
200,2,"001","000",0.0
600,2,"001","000",0.0
1200,2,"001","000",0.0
200,3,"001","000",0.578
600,3,"001","000",0.0
1200,3,"001","000",0.0
200,1,"101","000",0.0
600,1,"101","000",0.0
1200,1,"101","000",0.0
200,2,"101","000",0.0
600,2,"101","000",0.0
1200,2,"101","000",0.0
200,3,"101","000",0.9695
600,3,"101","000",0.0
1200,3,"101","000",0.0
200,1,"011","000",0.0
600,1,"011","000",0.0
1200,1,"011","000",0.0
200,2,"011","000",0.0
600,2,"011","000",0.0
1200,2,"011","000",0.0
200,3,"011","000",0.164
600,3,"011","000",0.0
1200,3,"011","000",0.0
200,1,"111","000",0.0
600,1,"111","000",0.0
1200,1,"111","000",0.0
200,2,"111","000",0.0
600,2,"111","000",0.0
1200,2,"111","000",0.0
200,3,"111","000",0.0
600,3,"111","000",0.0
1200,3,"111","000",0.0
200,1,"000","100",0.059
600,1,"000","100",0.0
1200,1,"000","100",0.0
200,2,"000","100",0.0
600,2,"000","100",0.0
1200,2,"000","100",0.0
200,3,"000","100",0.0
600,3,"000","100",0.0
1200,3,"000","100",0.0
200,1,"100","100",0.965
600,1,"100","100",1.0
1200,1,"100","100",1.0
200,2,"100","100",0.7855
600,2,"100","100",1.0
1200,2,"100","100",1.0
200,3,"100","100",0.8875
600,3,"100","100",1.0
1200,3,"100","100",1.0
200,1,"010","100",0.0
600,1,"010","100",0.0
1200,1,"010","100",0.0
200,2,"010","100",0.0
600,2,"010","100",0.0
1200,2,"010","100",0.0
200,3,"010","100",0.0
600,3,"010","100",0.0
1200,3,"010","100",0.0
200,1,"110","100",0.0
600,1,"110","100",0.0
1200,1,"110","100",0.0
200,2,"110","100",0.0
600,2,"110","100",0.0
1200,2,"110","100",0.0
200,3,"110","100",0.255
600,3,"110","100",0.0
1200,3,"110","100",0.0
200,1,"001","100",0.0
600,1,"001","100",0.0
1200,1,"001","100",0.0
200,2,"001","100",0.0
600,2,"001","100",0.0
1200,2,"001","100",0.0
200,3,"001","100",0.004
600,3,"001","100",0.0
1200,3,"001","100",0.0
200,1,"101","100",0.0
600,1,"101","100",0.0
1200,1,"101","100",0.0
200,2,"101","100",0.0025
600,2,"101","100",0.0
1200,2,"101","100",0.0
200,3,"101","100",0.0225
600,3,"101","100",0.0
1200,3,"101","100",0.0
200,1,"011","100",0.0
600,1,"011","100",0.0
1200,1,"011","100",0.0
200,2,"011","100",0.0
600,2,"011","100",0.0
1200,2,"011","100",0.0
200,3,"011","100",0.0075
600,3,"011","100",0.0
1200,3,"011","100",0.0
200,1,"111","100",0.0
600,1,"111","100",0.0
1200,1,"111","100",0.0
200,2,"111","100",0.0
600,2,"111","100",0.0
1200,2,"111","100",0.0
200,3,"111","100",0.2065
600,3,"111","100",0.0
1200,3,"111","100",0.0
200,1,"000","010",0.1105
600,1,"000","010",0.0
1200,1,"000","010",0.0
200,2,"000","010",0.0
600,2,"000","010",0.0
1200,2,"000","010",0.0
200,3,"000","010",0.014
600,3,"000","010",0.0
1200,3,"000","010",0.0
200,1,"100","010",0.0
600,1,"100","010",0.0
1200,1,"100","010",0.0
200,2,"100","010",0.0
600,2,"100","010",0.0
1200,2,"100","010",0.0
200,3,"100","010",0.0
600,3,"100","010",0.0
1200,3,"100","010",0.0
200,1,"010","010",0.93
600,1,"010","010",1.0
1200,1,"010","010",1.0
200,2,"010","010",0.986
600,2,"010","010",0.9995
1200,2,"010","010",1.0
200,3,"010","010",0.963
600,3,"010","010",0.9995
1200,3,"010","010",1.0
200,1,"110","010",0.0
600,1,"110","010",0.0
1200,1,"110","010",0.0
200,2,"110","010",0.0
600,2,"110","010",0.0
1200,2,"110","010",0.0
200,3,"110","010",0.1215
600,3,"110","010",0.0
1200,3,"110","010",0.0
200,1,"001","010",0.0
600,1,"001","010",0.0
1200,1,"001","010",0.0
200,2,"001","010",0.0
600,2,"001","010",0.0
1200,2,"001","010",0.0
200,3,"001","010",0.012
600,3,"001","010",0.0
1200,3,"001","010",0.0
200,1,"101","010",0.0
600,1,"101","010",0.0
1200,1,"101","010",0.0
200,2,"101","010",0.0
600,2,"101","010",0.0
1200,2,"101","010",0.0
200,3,"101","010",0.0
600,3,"101","010",0.0
1200,3,"101","010",0.0
200,1,"011","010",0.0
600,1,"011","010",0.0
1200,1,"011","010",0.0
200,2,"011","010",0.0
600,2,"011","010",0.0
1200,2,"011","010",0.0
200,3,"011","010",0.157
600,3,"011","010",0.0
1200,3,"011","010",0.0
200,1,"111","010",0.0
600,1,"111","010",0.0
1200,1,"111","010",0.0
200,2,"111","010",0.0
600,2,"111","010",0.0
1200,2,"111","010",0.0
200,3,"111","010",0.008
600,3,"111","010",0.0
1200,3,"111","010",0.0
200,1,"000","110",0.0005
600,1,"000","110",0.0
1200,1,"000","110",0.0
200,2,"000","110",0.0
600,2,"000","110",0.0
1200,2,"000","110",0.0
200,3,"000","110",0.0
600,3,"000","110",0.0
1200,3,"000","110",0.0
200,1,"100","110",0.0055
600,1,"100","110",0.0
1200,1,"100","110",0.0
200,2,"100","110",0.211
600,2,"100","110",0.0
1200,2,"100","110",0.0
200,3,"100","110",0.0285
600,3,"100","110",0.0
1200,3,"100","110",0.0
200,1,"010","110",0.0
600,1,"010","110",0.0
1200,1,"010","110",0.0
200,2,"010","110",0.0
600,2,"010","110",0.0
1200,2,"010","110",0.0
200,3,"010","110",0.037
600,3,"010","110",0.0005
1200,3,"010","110",0.0
200,1,"110","110",0.9955
600,1,"110","110",1.0
1200,1,"110","110",1.0
200,2,"110","110",0.185
600,2,"110","110",0.9985
1200,2,"110","110",0.9995
200,3,"110","110",0.5195
600,3,"110","110",1.0
1200,3,"110","110",0.9855
200,1,"001","110",0.0
600,1,"001","110",0.0
1200,1,"001","110",0.0
200,2,"001","110",0.0
600,2,"001","110",0.0
1200,2,"001","110",0.0
200,3,"001","110",0.0005
600,3,"001","110",0.0
1200,3,"001","110",0.0
200,1,"101","110",0.0
600,1,"101","110",0.0
1200,1,"101","110",0.0
200,2,"101","110",0.0
600,2,"101","110",0.0
1200,2,"101","110",0.0
200,3,"101","110",0.0
600,3,"101","110",0.0
1200,3,"101","110",0.0
200,1,"011","110",0.0
600,1,"011","110",0.0
1200,1,"011","110",0.0
200,2,"011","110",0.0
600,2,"011","110",0.0
1200,2,"011","110",0.0
200,3,"011","110",0.0035
600,3,"011","110",0.0
1200,3,"011","110",0.0
200,1,"111","110",0.0
600,1,"111","110",0.0
1200,1,"111","110",0.0
200,2,"111","110",0.0015
600,2,"111","110",0.0
1200,2,"111","110",0.0
200,3,"111","110",0.6925
600,3,"111","110",0.0
1200,3,"111","110",0.0
200,1,"000","001",0.0
600,1,"000","001",0.0
1200,1,"000","001",0.0
200,2,"000","001",0.026
600,2,"000","001",0.0
1200,2,"000","001",0.0
200,3,"000","001",0.0
