"N","l","H0","H1","value"
200,1,"000","000",1.0
600,1,"000","000",1.0
1200,1,"000","000",1.0
200,2,"000","001",1.0
600,2,"000","000",1.0
1200,2,"000","000",1.0
200,3,"000","000",1.0
600,3,"000","000",1.0
1200,3,"000","000",1.0
200,1,"100","100",1.0
600,1,"100","100",1.0
1200,1,"100","100",1.0
200,2,"100","100",1.0
600,2,"100","100",1.0
1200,2,"100","100",1.0
200,3,"100","100",1.0
600,3,"100","100",1.0
1200,3,"100","100",1.0
200,1,"010","000",1.0
600,1,"010","010",1.0
1200,1,"010","010",1.0
200,2,"010","010",1.0
600,2,"010","010",1.0
1200,2,"010","010",1.0
200,3,"010","010",1.0
600,3,"010","010",1.0
1200,3,"010","010",1.0
200,1,"110","000",1.0
600,1,"110","110",1.0
1200,1,"110","110",1.0
200,2,"110","010",1.0
600,2,"110","110",1.0
1200,2,"110","110",1.0
200,3,"110","100",1.0
600,3,"110","110",1.0
1200,3,"110","110",1.0
200,1,"001","000",1.0
600,1,"001","001",1.0
1200,1,"001","001",1.0
200,2,"001","000",1.0
600,2,"001","001",1.0
1200,2,"001","001",1.0
200,3,"001","001",1.0
600,3,"001","001",1.0
1200,3,"001","001",1.0
200,1,"101","100",1.0
600,1,"101","101",1.0
1200,1,"101","101",1.0
200,2,"101","101",1.0
600,2,"101","101",1.0
1200,2,"101","101",1.0
200,3,"101","101",1.0
600,3,"101","101",1.0
1200,3,"101","101",1.0
200,1,"011","010",1.0
600,1,"011","011",1.0
1200,1,"011","011",1.0
200,2,"011","011",1.0
600,2,"011","011",1.0
1200,2,"011","011",1.0
200,3,"011","001",1.0
600,3,"011","011",1.0
1200,3,"011","011",1.0
200,1,"111","100",1.0
600,1,"111","111",1.0
1200,1,"111","111",1.0
200,2,"111","111",1.0
600,2,"111","111",1.0
1200,2,"111","111",1.0
200,3,"111","111",1.0
600,3,"111","111",1.0
1200,3,"111","111",1.0
