j,var1,var2,y1,y2,f
1,1,2,0.5252525252525251,-4.0,6.331457357826964e-5
1,1,2,0.6060606060606064,-4.0,6.1156094388901e-5
1,1,2,0.6868686868686869,-4.0,5.898497355127714e-5
1,1,2,0.7676767676767673,-4.0,5.6805168246094786e-5
1,1,2,0.8484848484848486,-4.0,5.462418042030323e-5
1,1,2,0.9292929292929291,-4.0,5.245296013228964e-5
1,1,2,1.0101010101010104,-4.0,5.030519119413759e-5
1,1,2,1.0909090909090908,-4.0,4.8196178606440385e-5
1,1,2,1.1717171717171722,-4.0,4.6141573571693766e-5
1,1,2,1.2525252525252526,-4.0,4.415613324809323e-5
1,1,2,1.333333333333333,-4.0,4.2252652568647334e-5
1,1,2,1.4141414141414144,-4.0,4.044115192342916e-5
1,1,2,1.4949494949494948,-4.0,3.872836898593763e-5
1,1,2,1.5757575757575761,-4.0,3.711758112200941e-5
1,1,2,1.6565656565656566,-4.0,3.5608763814455974e-5
1,1,2,1.737373737373737,-4.0,3.4199059393520296e-5
1,1,2,1.8181818181818183,-4.0,3.288348770613266e-5
1,1,2,1.8989898989898988,-4.0,3.1655786072869544e-5
1,1,2,1.9797979797979801,-4.0,3.0509236506234876e-5
1,1,2,2.0606060606060606,-4.0,2.9437338666790398e-5
1,1,2,2.141414141414141,-4.0,2.8434223072450125e-5
1,1,2,2.2222222222222223,-4.0,2.7494763323743526e-5
1,1,2,2.3030303030303028,-4.0,2.661442028926046e-5
1,1,2,2.383838383838384,-4.0,2.5788912899005828e-5
1,1,2,2.4646464646464645,-4.0,2.501384142636585e-5
1,1,2,2.545454545454546,-4.0,2.428438290727786e-5
1,1,2,2.6262626262626263,-4.0,2.359514053880158e-5
1,1,2,2.7070707070707067,-4.0,2.2940174994755256e-5
1,1,2,2.787878787878788,-4.0,2.2313194000277975e-5
1,1,2,2.8686868686868685,-4.0,2.1707841679661813e-5
1,1,2,2.94949494949495,-4.0,2.111801738340566e-5
1,1,2,3.0303030303030303,-4.0,2.0538162577084975e-5
1,1,2,3.1111111111111107,-4.0,1.996347588699491e-5
1,1,2,3.191919191919192,-4.0,1.9390041002790893e-5
1,1,2,3.2727272727272725,-4.0,1.881487236375265e-5
1,1,2,3.353535353535354,-4.0,1.82358957232602e-5
1,1,2,3.4343434343434343,-4.0,1.765188472554725e-5
1,1,2,3.5151515151515156,-4.0,1.7062372734642562e-5
1,1,2,3.595959595959596,-4.0,1.646755422277413e-5
1,1,2,3.6767676767676765,-4.0,1.5868184521275278e-5
1,1,2,3.757575757575758,-4.0,1.5265482208647382e-5
1,1,2,3.8383838383838382,-4.0,1.4661035494747221e-5
1,1,2,3.9191919191919196,-4.0,1.405671263548203e-5
1,1,2,4.0,-4.0,1.3454576289758009e-5
1,1,2,-4.0,-3.9191919191919196,1.577238211225079e-5
1,1,2,-3.9191919191919196,-3.9191919191919196,1.6854945722200237e-5
