"N","l","H0","H1","value"
600,2,"100","110",0.01
600,2,"010","010",0.01
600,2,"001","100",0.01
600,2,"011","101",0.01
200,2,"111","110",0.01
1200,2,"100","111",0.01
200,3,"011","100",0.01
600,3,"000","100",0.01
600,3,"010","001",0.02
600,1,"110","101",0.02
600,1,"011","100",0.01
600,3,"100","111",0.01
200,3,"000","010",0.01
1200,2,"000","100",0.01
1200,2,"010","001",0.02
1200,2,"011","100",0.01
600,1,"101","110",0.01
200,2,"101","000",0.01
200,2,"011","001",0.01
200,3,"101","110",0.02
200,3,"000","001",0.01
