j,var1,var2,y1,y2,f
1,1,2,-0.2020202020202022,-4.0,3.066716570589426e-5
1,1,2,-0.1212121212121211,-4.0,3.053091999600494e-5
1,1,2,-0.04040404040404,-4.0,3.036012172827368e-5
1,1,2,0.040404040404040664,-4.0,3.0147548053145863e-5
1,1,2,0.1212121212121211,-4.0,2.9897067519200665e-5
1,1,2,0.20202020202020243,-4.0,2.9617984919295716e-5
1,1,2,0.2828282828282829,-4.0,2.9319627298128692e-5
1,1,2,0.3636363636363633,-4.0,2.900826807285533e-5
1,1,2,0.44444444444444464,-4.0,2.8686143401790205e-5
1,1,2,0.5252525252525251,-4.0,2.8351430164071335e-5
1,1,2,0.6060606060606064,-4.0,2.7998727579911008e-5
1,1,2,0.6868686868686869,-4.0,2.7620336097514918e-5
1,1,2,0.7676767676767673,-4.0,2.7208535635696463e-5
1,1,2,0.8484848484848486,-4.0,2.6758407316465645e-5
1,1,2,0.9292929292929291,-4.0,2.6270215385028834e-5
1,1,2,1.0101010101010104,-4.0,2.5750350484974806e-5
1,1,2,1.0909090909090908,-4.0,2.5210295141488066e-5
1,1,2,1.1717171717171722,-4.0,2.466376315433088e-5
1,1,2,1.2525252525252526,-4.0,2.412281212624431e-5
1,1,2,1.333333333333333,-4.0,2.3594108846973384e-5
1,1,2,1.4141414141414144,-4.0,2.3076511374256617e-5
1,1,2,1.4949494949494948,-4.0,2.25607193759789e-5
1,1,2,1.5757575757575761,-4.0,2.203107644135038e-5
1,1,2,1.6565656565656566,-4.0,2.1468930762163274e-5
1,1,2,1.737373737373737,-4.0,2.085653722574481e-5
1,1,2,1.8181818181818183,-4.0,2.0180478289547033e-5
1,1,2,1.8989898989898988,-4.0,1.943396351760125e-5
1,1,2,1.9797979797979801,-4.0,1.8617909632254992e-5
1,1,2,2.0606060606060606,-4.0,1.7741092955492992e-5
1,1,2,2.141414141414141,-4.0,1.6819704686505494e-5
1,1,2,2.2222222222222223,-4.0,1.5876383903699668e-5
1,1,2,2.3030303030303028,-4.0,1.4938534592416741e-5
1,1,2,2.383838383838384,-4.0,1.403574093095503e-5
1,1,2,2.4646464646464645,-4.0,1.3196439178042207e-5
1,1,2,2.545454545454546,-4.0,1.2444456365618269e-5
1,1,2,2.6262626262626263,-4.0,1.1796249277384806e-5
1,1,2,2.7070707070707067,-4.0,1.1259493649570865e-5
1,1,2,2.787878787878788,-4.0,1.083318974547447e-5
1,1,2,2.8686868686868685,-4.0,1.0508954924530382e-5
1,1,2,2.94949494949495,-4.0,1.027291621331809e-5
1,1,2,3.0303030303030303,-4.0,1.010765684831971e-5
1,1,2,3.1111111111111107,-4.0,9.993895213397517e-6
1,1,2,3.191919191919192,-4.0,9.911813621796263e-6
1,1,2,3.2727272727272725,-4.0,9.842098523640452e-6
1,1,2,3.353535353535354,-4.0,9.766787212177742e-6
1,1,2,3.4343434343434343,-4.0,9.66998292040622e-6
1,1,2,3.5151515151515156,-4.0,9.538452715865002e-6
1,1,2,3.595959595959596,-4.0,9.362091388293569e-6
1,1,2,3.6767676767676765,-4.0,9.13422559856934e-6
1,1,2,3.757575757575758,-4.0,8.851738705298529e-6
1,1,2,3.8383838383838382,-4.0,8.515008786638235e-6
1,1,2,3.9191919191919196,-4.0,8.127664780882972e-6
1,1,2,4.0,-4.0,7.69617650735599e-6
1,1,2,-4.0,-3.9191919191919196,6.253067712503837e-6
1,1,2,-3.9191919191919196,-3.9191919191919196,6.585940203930941e-6
1,1,2,-3.8383838383838382,-3.9191919191919196,6.93134866831972e-6
1,1,2,-3.757575757575758,-3.9191919191919196,7.295939100784956e-6
1,1,2,-3.6767676767676765,-3.9191919191919196,7.69003847915472e-6
1,1,2,-3.595959595959596,-3.9191919191919196,8.127645661974447e-6
1,1,2,-3.5151515151515156,-3.9191919191919196,8.626417057502469e-6
1,1,2,-3.4343434343434343,-3.9191919191919196,9.20793054925684e-6
1,1,2,-3.353535353535354,-3.9191919191919196,9.898309481567297e-6
1,1,2,-3.2727272727272725,-3.9191919191919196,1.0728790961722939e-5
1,1,2,-3.191919191919192,-3.9191919191919196,1.1735095116067316e-5
1,1,2,-3.1111111111111107,-3.9191919191919196,1.2953916483987518e-5
1,1,2,-3.0303030303030303,-3.9191919191919196,1.4415343544643005e-5
1,1,2,-2.94949494949495,-3.9191919191919196,1.6132189403795515e-5
1,1,2,-2.8686868686868685,-3.9191919191919196,1.8090456978271384e-5
1,1,2,-2.787878787878788,-3.9191919191919196,2.024698215326012e-5
1,1,2,-2.7070707070707067,-3.9191919191919196,2.2537930995561826e-5
1,1,2,-2.6262626262626263,-3.9191919191919196,2.4895419170531054e-5
1,1,2,-2.545454545454545,-3.9191919191919196,2.726351968982112e-5
1,1,2,-2.4646464646464645,-3.9191919191919196,2.9604779172927842e-5
