"group","Dp","Cy","Mv","Pe","group_id"
"Aconcagua",-0.869692863213803,-0.826162034037885,-0.0259127851173481,-0.336571238667989,1
"Aconcagua",-0.448226652448408,-0.467164669626143,0.598760282907681,0.149316274505097,1
"Aconcagua",-1.00834056943484,-1.99038456610153,0.704667371104766,-1.16409112549687,1
"Aconcagua",-0.384150754317492,-0.39873301664301,0.95787502171822,-0.158022765042467,1
"Aconcagua",-0.0602626786422253,-0.307916134919671,0.566004532456421,-0.109857102273303,1
"Maipo",1.23289864552511,-0.471414660875021,0.808007551724686,0.764886706980651,5
"Maipo",0.812815969017704,0.278763480334142,0.0986928776965929,0.35150637055029,5
"Maipo",0.272685407143676,-0.519061774776872,-0.485498438154289,-0.336585892314362,5
"Maipo",1.03778497805919,0.0470933222637738,0.507296927287719,0.396939358911877,5
"Maipo",0.0740810817754438,-0.35059580283154,-0.269862418414165,-0.595858196117897,5
"Maipo",-1.98152149910347,-1.3560169672666,-0.327540326373353,-1.93483091026493,5
"Maipo",-1.51232826737066,-1.42987977444663,-0.523339690121128,-1.37712105861174,5
"Maipo",0.0760590011756144,0.00113775507691303,0.119518266715983,-0.162106141789757,5
"Maipo",-2.66372440131522,-2.1596226973409,-0.794094090520753,-2.53102010794674,5
"Maipo",-0.978823762721005,-0.295655923208796,-0.454165896039732,-0.557869647828594,5
"Maipo",-0.985298392130773,-0.62054805687394,-0.514231155645466,-0.76666925814613,5
"Maipo",-0.996344706113744,-0.826299602563314,-0.356289950696067,-0.749188163864586,5
"Maipo",-0.694802049060411,0.665738919096303,-1.31273742156898,-0.319388502170342,5
"Maipo",-1.42694772828289,-0.646218305851147,-0.787326628252379,-1.26659229030303,5
"Maipo",0.342266965776084,0.569844485310276,-0.112691034685192,0.0294068283324222,5
"Maipo",-0.394857320207182,-0.427152724774748,0.118671008620649,-0.254439129448549,5
"Maipo",0.800470639952894,0.589558994195762,0.233494735673341,0.359100512432975,5
"Maipo",1.20679211471601,0.766113238729495,0.438337463861197,0.435204863105898,5
